File Name,Shot Frame Rate,Resolution,Video Codec,Comments,Start TC,End TC,Bit Depth,Camera Type,Camera Format,Camera FPS,Aspect Ratio Notes,Descriptions,Editorial or Commercial Use,
A032_C107_0917B5_001.R3D,23.976,5120 x 2700,r3d,tight-shot-boat-builder-going-down-ladder,00:57:55:19,00:58:36:14,16,DSMC2 GEMINI 5K S35,REDcode 8:1,96,1.09,"A local boatbuilder with a cigarette in his mouth walks down a ladder from a boat he is building, Sangeang Island, Sumbawa, Indonesia. No MR",Editorial,Standard
A032_C108_091766_001.R3D,23.976,5120 x 2700,r3d,Villager-walking-through-colorful-sarongs,00:58:49:12,00:59:08:05,16,DSMC2 GEMINI 5K S35,REDcode 8:1,96,1.09,"A man walks under a drying line filled with colourful sorongs, Bonto village, Sangeang Island, Sumbawa, Indonesia. No MR",Editorial,Standard
A033_C006_0917EY_001.R3D,23.976,5120 x 2160,r3d,slow-push-over-soft-corals-reef,16:38:38:06,16:39:05:22,16,DSMC2 GEMINI 5K S35,REDcode 8:1,120,2.37,"Slow motion of camera pushing toward stag horn corals and Xenia corals with a resident group of damselfish swimming in the water column, Komodo National Park, Indonesia, Pacific Ocean",Commercial,Premium
A032_C106_0917GR_001.R3D,23.976,5120 x 2700,r3d,boat-builder-descending-ladder,00:56:55:04,00:57:37:17,16,DSMC2 GEMINI 5K S35,REDcode 8:1,96,1.09,"A traditional wooden boat builder descends a ladder in Bonto village, Sangeang Island, Sumbawa, Indonesia. No MR",Editorial,Standard
A032_C138_09178Q_001.R3D,23.976,5120 x 2160,r3d,girls-villagers-playing-in-the-sea,01:15:15:17,01:15:56:16,16,DSMC2 GEMINI 5K S35,REDcode 8:1,120,2.37,"Two young girls playing in the sea, Bontoh village, Sangeang Island, Sumbawa, Indonesia. No MR",Editorial,Standard
A032_C135_0917XI_001.R3D,23.976,5120 x 2160,r3d,Village-girls-playing-in-the-sea,01:13:37:21,01:14:04:05,16,DSMC2 GEMINI 5K S35,REDcode 8:1,120,2.37,"Two young girls playing in the sea, Bontoh village, Sangeang Island, Sumbawa, Indonesia. No MR",Editorial,Standard
A032_C136_0917ME_001.R3D,23.976,5120 x 2160,r3d,litlle-girl-villager-playing-in-the-sea,01:13:09:00,01:13:52:23,16,DSMC2 GEMINI 5K S35,REDcode 8:1,120,2.37,"A young girl happily playing in the sea, Bontoh village, Sangeang Island, Sumbawa, Indonesia. No MR",Editorial,Standard
A032_C124_0917D6_001.R3D,23.976,5120 x 2160,r3d,sparkling-light-reflecting-sea-surface,01:06:35:13,01:07:33:22,16,DSMC2 GEMINI 5K S35,REDcode 8:1,120,2.37,"Sunlight from the setting sun shines and sparkles on the surface of the ocean, Sumbawa, Indonesia, Pacific Ocean",Commercial,Premium
A032_C106_0917GR_001.R3D,23.976,5120 x 2700,r3d,pan-to-right-boat-shipyard,00:56:37:09,00:56:53:01,16,DSMC2 GEMINI 5K S35,REDcode 8:1,96,1.09,"Traditional wooden boat being built in Bonto village, Sangeang Island, Sumbawa, Indonesia",Editorial,Standard
A031_C047_0916TP_001.R3D,23.976,5120 x 2700,r3d,cave-opening-underwater-frame,16:31:02:20,16:31:28:18,16,DSMC2 GEMINI 5K S35,REDcode 5:1,59.94,1.09,"The silhouetted outline of an underwater cave opening looking from inside of the cave out toward the blue water, Sangeang Island, Sumbawa, Indonesia, Pacific Ocean",Commercial,Premium
